NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,MPT,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ALLSTAR,TEAM_STANDING
Reggie Jackson, TOT, PG,29,23,11,24.2,4.7,11.2, .416,2.0,4.9,0.39799999999999996,2.7,6.3,0.431,0.504,1.5,1.9,0.8140000000000001,0.7,2.3,2.9,4.4,0.4,0.2,1.7,1.7,12.8,29,556,15.0,0.5329999999999999,0.44,0.16699999999999998,3.0,10.2,6.6,28.7,0.9,0.8,12.7,24.5,0.6,0.3,0.9,0.077,1.8,-1.3,0.5,0.4,0,4
Reggie Jackson, DET, PG,29,14,10,27.2,5.4,14.1, .384,2.2,5.9,0.37799999999999995,3.2,8.3,0.38799999999999996,0.462,1.9,2.4,0.7879999999999999,0.8,2.1,2.9,5.1,0.6,0.1,1.6,1.5,14.9,29,556,15.0,0.5329999999999999,0.44,0.16699999999999998,3.0,10.2,6.6,28.7,0.9,0.8,12.7,24.5,0.6,0.3,0.9,0.077,1.8,-1.3,0.5,0.4,0,26
Reggie Jackson, LAC, PG,29,9,1,19.4,3.4,6.6, .525,1.6,3.4,0.452,1.9,3.1,0.607,0.644,1.0,1.1,0.9,0.4,2.4,2.9,3.2,0.2,0.4,1.9,2.1,9.4,29,556,15.0,0.5329999999999999,0.44,0.16699999999999998,3.0,10.2,6.6,28.7,0.9,0.8,12.7,24.5,0.6,0.3,0.9,0.077,1.8,-1.3,0.5,0.4,0,4
Justin James, SAC, SG,23,34,0,6.4,1.0,2.3, .423,0.3,0.8,0.34600000000000003,0.7,1.5,0.462,0.48100000000000004,0.3,0.6,0.47600000000000003,0.2,0.7,0.9,0.5,0.2,0.3,0.2,0.5,2.5,23,218,11.5,0.48700000000000004,0.33299999999999996,0.26899999999999996,3.0,12.7,7.8,10.8,1.3,3.9,8.4,19.0,0.0,0.2,0.2,0.037000000000000005,-1.0,0.2,-0.7,0.1,0,19
LeBron James, LAL, PG,35,60,60,34.9,9.8,19.6, .498,2.2,6.4,0.349,7.6,13.3,0.57,0.555,4.0,5.7,0.6970000000000001,1.0,6.9,7.9,10.6,1.2,0.5,4.0,1.8,25.7,35,2094,26.0,0.5820000000000001,0.324,0.292,3.1,21.0,12.3,49.7,1.7,1.3,15.3,31.6,6.1,3.4,9.5,0.218,6.8,1.9,8.7,5.7,1,2
Amile Jefferson, ORL, PF,26,18,0,4.1,0.3,0.8, .357,0.0,0.0,,0.3,0.8,0.35700000000000004,0.35700000000000004,0.3,0.8,0.35700000000000004,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,0.8,26,74,8.9,0.37200000000000005,0.0,1.0,14.0,19.5,16.7,7.2,0.7,3.7,13.0,13.5,0.0,0.1,0.0,0.023,-4.9,-1.0,-5.9,-0.1,0,16
DaQuan Jeffries, SAC, SG,22,6,0,3.2,0.5,1.2, .429,0.2,0.7,0.25,0.3,0.5,0.667,0.5,0.0,0.0,,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.5,1.2,22,19,10.7,0.5,0.5710000000000001,0.0,5.8,0.0,3.0,7.8,2.6,0.0,0.0,16.1,0.0,0.0,0.0,0.081,-2.3,-0.3,-2.6,0.0,0,19
Ty Jerome, PHO, PG,22,28,0,11.3,1.3,3.8, .349,0.5,1.7,0.27699999999999997,0.9,2.1,0.40700000000000003,0.41,0.4,0.5,0.7859999999999999,0.2,1.3,1.5,1.5,0.5,0.1,0.6,1.0,3.5,22,315,8.1,0.43700000000000006,0.44299999999999995,0.132,2.1,12.6,7.2,18.8,2.1,0.8,13.8,17.6,-0.3,0.3,0.0,-0.002,-3.9,0.0,-3.8,-0.1,0,21
Alize Johnson, IND, SF,23,13,0,4.2,0.5,1.2, .467,0.0,0.0,,0.5,1.2,0.467,0.467,0.3,0.5,0.667,0.5,0.8,1.4,0.2,0.0,0.0,0.2,0.5,1.4,23,54,10.8,0.51,0.0,0.4,14.4,22.3,18.4,5.0,0.0,0.0,14.5,16.8,0.0,0.1,0.1,0.07,-3.2,-1.6,-4.8,0.0,0,11
B.J. Johnson, ORL, SF,24,8,0,5.8,0.6,2.3, .278,0.1,0.8,0.16699999999999998,0.5,1.5,0.33299999999999996,0.306,0.3,0.3,1.0,0.1,0.6,0.8,0.3,0.3,0.0,0.4,0.0,1.6,24,46,2.5,0.344,0.33299999999999996,0.111,2.3,12.1,7.0,6.1,2.1,0.0,13.7,20.6,-0.2,0.0,-0.1,-0.132,-7.2,-2.5,-9.7,-0.1,0,16
Cameron Johnson, PHO, PF,23,49,1,20.3,2.8,6.6, .418,1.9,4.7,0.397,0.9,2.0,0.469,0.5579999999999999,0.7,0.9,0.7609999999999999,0.8,2.1,2.9,1.1,0.6,0.3,0.6,1.5,8.1,23,996,12.2,0.5760000000000001,0.705,0.142,4.3,11.5,7.8,7.4,1.4,1.4,7.7,16.0,1.1,0.7,1.8,0.086,0.5,-0.7,-0.2,0.5,0,21
James Johnson, TOT, PF,32,32,1,19.3,3.2,6.7, .479,1.0,2.8,0.363,2.2,3.9,0.565,0.556,1.0,1.5,0.6459999999999999,0.8,2.9,3.7,2.3,0.8,1.0,1.5,2.5,8.4,32,619,14.8,0.5720000000000001,0.423,0.223,4.3,16.3,10.3,18.4,1.9,4.6,16.9,19.4,0.4,0.8,1.2,0.08900000000000001,-1.1,1.1,0.0,0.3,0,28
James Johnson, MIA, PF,32,18,0,15.6,2.2,4.8, .448,0.9,2.5,0.35600000000000004,1.3,2.3,0.5479999999999999,0.54,0.4,0.8,0.5710000000000001,0.4,2.4,2.9,1.2,0.3,0.7,0.8,1.9,5.7,32,619,14.8,0.5720000000000001,0.423,0.223,4.3,16.3,10.3,18.4,1.9,4.6,16.9,19.4,0.4,0.8,1.2,0.08900000000000001,-1.1,1.1,0.0,0.3,0,8
James Johnson, MIN, PF,32,14,1,24.1,4.6,9.1, .500,1.2,3.3,0.37,3.4,5.9,0.573,0.5660000000000001,1.6,2.4,0.6759999999999999,1.2,3.5,4.7,3.8,1.4,1.4,2.4,3.3,12.0,32,619,14.8,0.5720000000000001,0.423,0.223,4.3,16.3,10.3,18.4,1.9,4.6,16.9,19.4,0.4,0.8,1.2,0.08900000000000001,-1.1,1.1,0.0,0.3,0,28
